"Country" "Day" "Deaths" "CFR" "3stdev" "Est lag" "Forecast" "Min forecast" "Max forecast"
"United_States_of_America" "04-04-20" "7,157" "7.41" "5.4" "6" "NA" "NA" "NA"
"United_States_of_America" "11-04-20" "18,777" "8.95" "8.04" "7" "37,371" "20,668" "54,074"
"United_States_of_America" "18-04-20" "37,054" "9.46" "9.96" "8" "57,318" "37,054" "78,663"
"United_States_of_America" "25-04-20" "51,017" "8.43" "3.63" "9" "68,313" "60,850" "75,777"
"United_States_of_America" "02-05-20" "65,068" "7.36" "2.04" "8" "79,634" "75,612" "83,657"
"United_States_of_America" "09-05-20" "77,180" "7.12" "2.37" "8" "91,007" "86,408" "95,606"
"United_States_of_America" "16-05-20" "87,568" "6.84" "2.91" "8" "99,143" "94,221" "104,065"
"United_States_of_America" "23-05-20" "96,007" "6.2" "1.68" "7" "105,873" "103,218" "108,529"
"United_States_of_America" "30-05-20" "102,836" "5.73" "2.28" "7" "111,480" "108,056" "114,903"
"United_States_of_America" "06-06-20" "109,143" "5.29" "2.16" "6" "NA" "NA" "NA"
"United_States_of_America" "13-06-20" "114,669" "4.78" "2.25" "6" "NA" "NA" "NA"
"United_States_of_America" "20-06-20" "119,112" "4.19" "2.1" "5" "NA" "NA" "NA"
"United_States_of_America" "27-06-20" "125,039" "3.68" "2.13" "5" "NA" "NA" "NA"
"United_States_of_America" "04-07-20" "129,434" "3.33" "1.86" "8" "138,765" "133,556" "143,973"
"United_States_of_America" "11-07-20" "134,097" "3" "2.19" "13" "143,164" "136,568" "149,760"
"United_States_of_America" "18-07-20" "139,266" "2.85" "2.04" "18" "148,457" "141,846" "155,068"
"United_States_of_America" "25-07-20" "145,546" "3.01" "1.8" "25" "155,234" "149,391" "161,076"
"United_States_of_America" "01-08-20" "153,314" "3.03" "0.75" "31" "163,374" "160,893" "165,854"
"United_States_of_America" "08-08-20" "161,356" "3.33" "1.08" "36" "173,036" "169,227" "176,845"
"United_States_of_America" "15-08-20" "168,446" "3.17" "1.89" "37" "181,569" "173,720" "189,419"
"United_States_of_America" "22-08-20" "175,406" "1.88" "0.9" "25" "183,777" "179,827" "187,726"
"United_States_of_America" "29-08-20" "181,773" "1.65" "0.42" "22" "187,960" "186,419" "189,501"
"United_States_of_America" "05-09-20" "187,765" "1.64" "0.21" "20" "193,192" "192,494" "193,890"
"United_States_of_America" "12-09-20" "193,016" "1.67" "0.21" "18" "197,903" "197,278" "198,528"
"United_States_of_America" "19-09-20" "198,589" "1.74" "0.15" "17" "203,411" "202,958" "203,865"
"United_States_of_America" "26-09-20" "203,774" "1.79" "0.33" "17" "208,263" "207,410" "209,117"
"United_States_of_America" "03-10-20" "208,716" "1.9" "0.48" "16" "214,187" "212,838" "215,536"
"United_States_of_America" "10-10-20" "213,787" "1.89" "0.48" "16" "219,513" "218,023" "221,003"
"United_States_of_America" "17-10-20" "218,599" "1.84" "0.57" "16" "224,229" "222,527" "225,931"
"United_States_of_America" "24-10-20" "223,995" "1.74" "0.42" "16" "229,967" "228,556" "231,378"
"United_States_of_America" "31-10-20" "229,708" "1.7" "0.21" "18" "236,207" "235,391" "237,023"
"United_States_of_America" "07-11-20" "236,099" "1.7" "0.24" "20" "243,328" "242,309" "244,346"
"United_States_of_America" "14-11-20" "244,345" "1.67" "0.24" "19" "253,239" "251,945" "254,532"
"United_States_of_America" "21-11-20" "254,413" "1.64" "0.24" "18" "265,933" "264,295" "267,571"
"United_States_of_America" "28-11-20" "264,859" "1.61" "0.21" "18" "280,863" "278,752" "282,973"
"United_States_of_America" "05-12-20" "278,996" "1.11" "0.42" "9" "291,745" "286,811" "296,679"
