"Date"	"Country"	"LagTime"	"CFR"	"deaths"	"deathForecast"	"deathMin"	"deathMax"
2021-02-13	"Marshall Islands"	45	NA	0	NA	0	NA
2021-02-13	"Mauritania"	5	2.19	428	NA	NA	NA
2021-02-13	"Mauritius"	45	0	10	10	10	10
2021-02-13	"Mexico"	45	11.8	173771	181470	180588	182351
2021-02-13	"Micronesia"	45	NA	0	NA	0	NA
2021-02-13	"Moldova"	6	2.82	3640	NA	NA	NA
2021-02-13	"Monaco"	26	2.97	21	25	23	28
2021-02-13	"Mongolia"	41	0	2	2	2	2
2021-02-13	"Montenegro"	15	1.04	882	916	908	925
2021-02-13	"Morocco"	36	0.98	8460	8544	8532	8555
2021-02-13	"Mozambique"	4	1.26	525	NA	NA	NA
2021-02-13	"Namibia"	12	1.18	386	398	396	401
2021-02-13	"Nepal"	39	0.5	2054	2069	2064	2074
2021-02-13	"Netherlands"	17	1.04	14913	15230	15202	15257
2021-02-13	"New Zealand"	45	0	25	25	25	25
2021-02-13	"Nicaragua"	14	1.91	171	172	172	172
2021-02-13	"Niger"	2	1.13	1747	NA	NA	NA
2021-02-13	"Nigeria"	8	0.79	1747	1810	1799	1821
2021-02-13	"North Macedonia"	5	3.59	2976	NA	NA	NA
2021-02-13	"Norway"	7	0.82	592	606	603	609
2021-02-13	"Oman"	38	0.64	1539	1547	1545	1549
2021-02-13	"Pakistan"	15	2.27	12307	12566	12537	12596
2021-02-13	"Panama"	8	1.67	5621	5725	5703	5747
2021-02-13	"Papua New Guinea"	10	0	9	9	9	9
2021-02-13	"Paraguay"	1	1.9	2920	NA	NA	NA
2021-02-13	"Peru"	4	3.03	43255	NA	NA	NA
2021-02-13	"Philippines"	1	3.54	11507	NA	NA	NA
2021-02-13	"Poland"	24	3.33	40709	42058	41921	42196
2021-02-13	"Portugal"	6	2.2	15183	NA	NA	NA
2021-02-13	"Qatar"	16	0.1	255	257	255	259
2021-02-13	"Romania"	23	2.18	19325	19710	19666	19753
2021-02-13	"Russia"	1	2.67	78403	NA	NA	NA
2021-02-13	"Rwanda"	39	4.47	236	276	262	291
2021-02-13	"Saint Kitts and Nevis"	45	0	0	0	0	0
2021-02-13	"Saint Lucia"	5	1.48	23	NA	NA	NA
2021-02-13	"Saint Vincent and the Grenadines"	36	10.07	6	22	10	35
2021-02-13	"Samoa"	45	0	0	0	0	0
2021-02-13	"San Marino"	1	1.14	72	NA	NA	NA
2021-02-13	"Sao Tome and Principe"	28	0.61	19	19	19	20
2021-02-13	"Saudi Arabia"	29	2.87	6429	6464	6458	6470
2021-02-13	"Senegal"	4	3.04	741	NA	NA	NA
2021-02-13	"Serbia"	18	0.87	4214	4315	4307	4323
2021-02-13	"Seychelles"	24	7.2	8	30	8	69
2021-02-13	"Sierra Leone"	1	0.13	79	NA	NA	NA
2021-02-13	"Singapore"	45	0	29	29	29	29
2021-02-13	"Slovakia"	26	3.18	5812	6228	6165	6292
2021-02-13	"Slovenia"	1	1.77	3705	NA	NA	NA
2021-02-13	"Solomon Islands"	45	NA	0	NA	0	NA
2021-02-13	"Somalia"	1	2.76	148	NA	NA	NA
2021-02-13	"South Africa"	9	3.84	47821	48656	48491	48822
2021-02-13	"South Sudan"	1	0.51	74	NA	NA	NA
2021-02-13	"Spain"	13	1.48	64747	67847	67311	68383
2021-02-13	"Sri Lanka"	1	0.6	390	NA	NA	NA
2021-02-13	"Sudan"	30	7.13	1849	1608	1610	1606
2021-02-13	"Suriname"	12	1.34	166	170	169	171
2021-02-13	"Sweden"	37	1.56	12428	13151	12929	13373
2021-02-13	"Switzerland"	1	2.37	9755	NA	NA	NA
2021-02-13	"Syria"	1	8.03	975	NA	NA	NA
2021-02-13	"Taiwan*"	20	2.07	9	9	9	10
2021-02-13	"Tajikistan"	2	0	90	NA	NA	NA
2021-02-13	"Tanzania"	45	NA	21	NA	21	NA
2021-02-13	"Thailand"	24	0.17	80	83	81	85
2021-02-13	"Timor-Leste"	45	0	0	0	0	0
2021-02-13	"Togo"	18	0.71	80	83	82	84
2021-02-13	"Trinidad and Tobago"	1	2.37	138	NA	NA	NA
2021-02-13	"Tunisia"	10	3.11	7508	7763	7734	7792
2021-02-13	"Turkey"	15	1.46	27377	28108	27993	28223
2021-02-13	"US"	36	1.49	484248	509677	507280	512074
2021-02-13	"Uganda"	23	0.35	328	331	329	333
2021-02-13	"Ukraine"	3	2.99	25578	NA	NA	NA
2021-02-13	"United Arab Emirates"	15	0.3	1001	1075	1066	1085
2021-02-13	"United Kingdom"	15	2.33	117128	120878	120627	121128
2021-02-13	"Uruguay"	10	1.16	533	575	572	579
2021-02-13	"Uzbekistan"	8	0.28	622	623	622	624
2021-02-13	"Vanuatu"	45	NA	0	NA	0	NA
2021-02-13	"Venezuela"	1	1.27	1273	NA	NA	NA
2021-02-13	"Vietnam"	45	0	35	35	35	35
2021-02-13	"West Bank and Gaza"	16	1.2	1930	1972	1965	1980
2021-02-13	"Yemen"	1	16.75	616	NA	NA	NA
2021-02-13	"Zambia"	1	1.14	940	NA	NA	NA
2021-02-13	"Zimbabwe"	8	4.65	1398	1443	1437	1449
